name	category	intro	formula	top_ex_annual_cost	top_ex_annual_free	erosion	bottom_ex_annual_cost	ls_annual_cost	ic_mean	ir	sharpe_top_cost	maxdd_top_cost	turnover_top
net_non_operating_income_to_total_profit	质量类因子	营业外收支利润净额/利润总额	营业外收支利润净额/利润总额	-2.34	-0.34	-2.00	-11.33	-81.87	0.005638	0.111825	0.147832	22.62	2.25
earnings_to_price_ratio	风险因子 - 风格因子	利润市值比	过去一年的净利润 除以 当前股票市值，等于 PE 的倒数	-2.66	-0.99	-1.67	-10.22	-83.39	0.027279	0.1221	0.18685	19.14	1.89
retained_earnings	基础科目及衍生类因子	留存收益	=盈余公积金+未分配利润	-2.70	-1.49	-1.21	-12.88	-82.32	0.024092	0.161251	0.177612	17.02	1.37
operating_revenue_per_share_ttm	每股指标因子	每股营业收入TTM	营业收入（TTM）除以总股本	-2.81	-1.55	-1.26	-10.02	-82.32	0.001708	0.022073	0.131742	23.68	1.43
total_operating_revenue_per_share_ttm	每股指标因子	每股营业总收入TTM	营业总收入（TTM）除以总股本	-2.83	-1.58	-1.25	-9.93	-82.34	0.001378	0.017931	0.130708	23.51	1.42
eps_ttm	每股指标因子	每股收益TTM	过去12个月归属母公司所有者的净利润（TTM）除以总股本	-2.95	-1.68	-1.27	-14.08	-81.83	0.005199	0.045677	0.129651	23.01	1.45
ROAEBITTTM	质量类因子	总资产报酬率	（利润总额（TTM）+利息支出（TTM）） / 总资产在过去12个月的平均	-2.99	-1.69	-1.30	-11.36	-82.30	0.005636	0.05279	0.122618	20.82	1.49
net_operate_cash_flow_to_total_current_liability	质量类因子	现金流动负债比	现金流动负债比=经营活动产生的现金流量净额（TTM）/流动负债合计	-3.05	-1.81	-1.24	-9.76	-82.71	0.007812	0.099682	0.124879	21.21	1.41
net_profit_ratio	质量类因子	销售净利率	售净利率=净利润（TTM）/营业收入（TTM）	-3.16	-1.90	-1.26	-11.85	-82.17	0.006031	0.070454	0.115378	22.39	1.43
operating_revenue_ttm	基础科目及衍生类因子	营业收入TTM	计算过去12个月的 营业收入 之和	-3.21	-1.88	-1.33	-8.99	-82.97	0.017952	0.141709	0.126561	21.39	1.52
DEGM	质量类因子	毛利率增长	毛利率增长=(今年毛利率（TTM）/去年毛利率（TTM）)-1	-3.23	-1.45	-1.77	-9.21	-82.61	0.005289	0.090241	0.111462	25.14	2.02
capital_reserve_fund_per_share	每股指标因子	每股资本公积金	每股资本公积金	-3.33	-2.30	-1.03	-11.72	-81.91	-0.009825	-0.110887	0.091293	30.56	1.17
retained_profit_per_share	每股指标因子	每股未分配利润	每股未分配利润	-3.33	-2.26	-1.07	-10.98	-82.36	0.004552	0.047915	0.112539	21.46	1.22
total_operating_cost_ttm	基础科目及衍生类因子	营业总成本TTM	计算过去12个月的 营业总成本 之和	-3.34	-2.06	-1.28	-8.59	-82.99	0.01623	0.134188	0.117809	21.89	1.47
total_operating_revenue_ttm	基础科目及衍生类因子	营业总收入TTM	计算过去12个月的 营业总收入 之和	-3.40	-2.10	-1.30	-8.69	-83.05	0.017335	0.13781	0.11679	21.28	1.48
roic_ttm	质量类因子	投资资本回报率TTM	权益回报率=归属于母公司股东的净利润（TTM）/ 前四个季度投资资本均值; 投资资本=股东权益+负债合计-无息流动负债-无息非流动负债; 无息流动负债=应付账款+预收款项+应付职工薪酬+应交税费+其他应付款+一年内的递延收益+其它流动负债; 无息非流动负债=非流动负债合计-长期借款-应付债券；	-3.40	-2.03	-1.36	-11.83	-82.27	0.004383	0.039152	0.103222	21.71	1.56
financing_cash_growth_rate	成长类因子	筹资活动产生的现金流量净额增长率	过去12个月的筹资现金流量净额 / 4季度前的12个月的筹资现金流量净额 - 1	-3.40	-1.44	-1.96	-8.17	-82.69	0.001115	0.023289	0.100285	24.02	2.23
